model,variant,accuracy_validation,accuracy_test,macro_f1_validation,macro_f1_test,weighted_f1_validation,weighted_f1_test,macro_f1_gap,accuracy_gap
DistilBERT,fine-tuned,0.9065,0.9094155844155845,0.900707484621432,0.9091467312767352,0.905697570084648,0.9091467312767354,0.008439246655303156,0.0029155844155844823
TF-IDF + Linear SVM,tuned,0.879,0.887987012987013,0.8732374112212278,0.8878643639726165,0.8787793689611878,0.8878643639726167,0.0146269527513887,0.008987012987012988
TF-IDF + Logistic Regression,tuned,0.8675,0.8818181818181818,0.8620065643860887,0.8819081272238161,0.8675274452398948,0.8819081272238161,0.01990156283772737,0.014318181818181785
DummyClassifier,baseline,0.019,0.0129870129870129,0.000484304704128,0.0003330003330003,0.0007085377821393,0.0003330003330003,-0.00015130437112770002,-0.0060129870129871
